City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Rikitea,PF,77.29,light rain,-23.1203,-134.9692,People ThankYou
9,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
28,Jensen Beach,US,85.06,scattered clouds,27.2545,-80.2298,Courtyard by Marriott Hutchinson Island Oceanside/Jensen Beach
29,Romita,MX,89.42,clear sky,20.8667,-101.5167,HOTEL RESTER
37,Manaure,CO,85.69,overcast clouds,11.7751,-72.4445,Hotel Palaaima
38,Hilo,US,89.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
44,Butaritari,KI,81.5,light rain,3.0707,172.7902,Isles Sunset Lodge
47,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
49,Hithadhoo,MV,83.61,few clouds,-0.6,73.0833,Scoop Guest House
54,Taoudenni,ML,89.76,clear sky,22.6783,-3.9836,
56,Boueni,YT,80.58,scattered clouds,-12.9025,45.0761,The feet in water
58,Port Hueneme,US,81.46,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
59,Cockburn Town,TC,79.32,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
61,Atuona,PF,78.42,few clouds,-9.8,-139.0333,Villa Enata
65,Kyabe,TD,88.03,overcast clouds,9.4515,18.9449,
66,Grand-Santi,GF,77.34,moderate rain,4.25,-54.3833,Hotel La Villa Couacou
67,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
77,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
78,Santa Cruz,BO,81.86,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
83,Kapaa,US,80.58,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
84,Victoria,HK,76.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
87,Bambous Virieux,MU,77.22,light rain,-20.3428,57.7575,Casa Tia Villa
88,Buala,SB,81.7,light rain,-8.145,159.5921,Maringe Lagoon Lodge
93,Nha Trang,VN,77.0,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
94,Kirakira,SB,81.9,broken clouds,-10.4544,161.9205,SanBiz Lodge
99,Carutapera,BR,76.59,overcast clouds,-1.195,-46.02,Lidera
102,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
104,Dingle,PH,77.81,few clouds,10.9995,122.6711,SEGAYA PROPERTY
105,Enid,US,85.01,clear sky,36.3956,-97.8784,Ramada by Wyndham Enid
106,Itarema,BR,78.94,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
113,Bac Lieu,VN,82.18,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
114,Yarada,IN,80.92,haze,17.65,83.2667,Yarada Jungle Beach Resorts
120,Belmonte,BR,77.63,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
124,Gorontalo,ID,75.7,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
127,Sur,OM,84.34,clear sky,22.5667,59.5289,Sur Plaza Hotel
129,Talara,PE,79.56,clear sky,-4.5772,-81.2719,Hostal Oro Negro
131,Mahebourg,MU,77.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
132,Tamandare,BR,77.4,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
133,Zhuhai,CN,76.71,clear sky,22.2769,113.5678,珠海粤财假日酒店
134,Puri,IN,81.12,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
137,San Pedro,PH,82.31,few clouds,14.35,121.0167,Esquivel's Garden And Resort
139,Soure,BR,79.68,overcast clouds,-0.7167,-48.5233,Casarão da Amazônia
143,Faanui,PF,81.3,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
145,Patti,IN,86.16,clear sky,31.2808,74.8572,harike air travel
147,Aswan,EG,81.7,clear sky,24.0934,32.907,Nuba Nile
148,Cordoba,AR,77.85,clear sky,-31.4135,-64.1811,Hotel Sussex
150,Mitsamiouli,KM,81.07,few clouds,-11.3847,43.2844,Foyer ADM
162,Bengkulu,ID,77.11,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
173,Touros,BR,76.37,moderate rain,-5.1989,-35.4608,INN NEW HORIZON
174,Garowe,SO,82.26,broken clouds,8.4054,48.4845,Curubo Hotel
175,Lumut,MY,80.62,few clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
178,Muisne,EC,80.46,scattered clouds,0.6,-80.0333,Quinta Samay
181,Padang,ID,77.56,light rain,-0.9492,100.3543,Mercure Padang
184,Cabo San Lucas,MX,89.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
185,Kavaratti,IN,84.34,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
188,Tessalit,ML,87.48,scattered clouds,20.1986,1.0114,
189,Moyamba,SL,78.31,broken clouds,8.1667,-12.4333,Samie's Guesthouse
195,Chirongui,YT,80.53,scattered clouds,-12.9319,45.1483,La Villa Mahatsara
198,Carinhanha,BR,85.42,broken clouds,-14.3047,-43.765,Hotel União
202,Areia Branca,BR,84.4,overcast clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
