City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,59.34,34,100,1.01,overcast clouds
1,Yuancheng,CN,36.652,107.7896,57.58,71,100,4.32,overcast clouds
2,High Level,CA,58.5169,-117.136,37.51,93,100,13.8,light rain
3,Rikitea,PF,-23.1203,-134.9692,77.29,83,63,13.22,light rain
4,Mataura,NZ,-46.1927,168.8643,57.47,99,100,2.62,light rain
5,Jamestown,US,42.097,-79.2353,65.52,41,0,8.05,clear sky
6,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,48.79,66,0,6.71,clear sky
7,Punta Arenas,CL,-53.15,-70.9167,50.11,66,20,31.07,few clouds
8,Kapit,MY,2.0167,112.9333,74.32,99,100,0.29,overcast clouds
9,Georgetown,MY,5.4112,100.3354,84.13,93,20,8.05,few clouds
10,Dandong,CN,40.1292,124.3947,49.28,35,100,4.38,overcast clouds
11,Zheleznodorozhnyy,RU,55.7503,38.0042,57.61,74,69,8.61,broken clouds
12,Thompson,CA,55.7435,-97.8558,69.96,43,75,10.36,broken clouds
13,Ushuaia,AR,-54.8,-68.3,49.66,53,20,21.85,few clouds
14,Norman Wells,CA,65.282,-126.8329,42.84,61,100,5.75,shower rain
15,Tuatapere,NZ,-46.1333,167.6833,55.78,98,100,0.63,overcast clouds
16,Osi,HU,47.1472,18.1883,61.86,66,100,0.83,overcast clouds
17,Tasiilaq,GL,65.6145,-37.6368,32.16,73,98,5.93,overcast clouds
18,Zabaykalsk,RU,49.6333,117.3167,41.34,47,2,5.1,clear sky
19,Xai-Xai,MZ,-25.0519,33.6442,67.91,85,0,7.34,clear sky
20,Nuuk,GL,64.1835,-51.7216,36.21,69,0,9.22,clear sky
21,Ankang,CN,32.68,109.0172,60.82,75,80,2.91,broken clouds
22,Qaanaaq,GL,77.484,-69.3632,19.04,82,100,1.79,overcast clouds
23,Brownwood,US,31.7093,-98.9912,107.6,15,0,17.56,clear sky
24,Ponta Do Sol,PT,32.6667,-17.1,65.03,71,42,7.2,scattered clouds
25,Dombarovskiy,RU,50.7587,59.5386,42.71,47,100,9.98,overcast clouds
26,Kaz,RU,52.9113,87.3105,34.93,97,81,6.11,broken clouds
27,Dahuk,IQ,36.8695,42.994,52.59,70,66,3.96,broken clouds
28,Jensen Beach,US,27.2545,-80.2298,85.06,64,40,10.36,scattered clouds
29,Romita,MX,20.8667,-101.5167,89.42,10,2,8.57,clear sky
30,Cape Town,ZA,-33.9258,18.4232,58.12,80,5,11.99,clear sky
31,Codrington,AU,-38.2667,141.9667,53.96,81,78,8.61,broken clouds
32,Maniitsoq,GL,65.4167,-52.9,32.7,74,8,11.25,clear sky
33,Barcelona,ES,41.3888,2.159,66.54,73,20,8.05,few clouds
34,Provideniya,RU,64.3833,-173.3,32.99,88,100,7.07,overcast clouds
35,New Norfolk,AU,-42.7826,147.0587,51.3,72,93,2.93,overcast clouds
36,Bluff,NZ,-46.6,168.3333,57.79,98,100,8.39,light rain
37,Manaure,CO,11.7751,-72.4445,85.69,62,100,15.99,overcast clouds
38,Hilo,US,19.7297,-155.09,89.28,77,100,6.91,overcast clouds
39,Port Alfred,ZA,-33.5906,26.891,64.18,79,100,1.99,overcast clouds
40,Leh,IN,34.1667,77.5833,46.71,48,94,5.26,overcast clouds
41,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,80,75,14.97,broken clouds
42,Hobart,AU,-42.8794,147.3294,51.66,82,75,12.66,broken clouds
43,Constitucion,CL,-35.3333,-72.4167,58.75,69,5,11.54,clear sky
44,Butaritari,KI,3.0707,172.7902,81.5,79,100,15.82,light rain
45,Bredasdorp,ZA,-34.5322,20.0403,54.81,90,37,2.82,scattered clouds
46,Yellowknife,CA,62.456,-114.3525,37.92,93,100,28.77,light rain
47,Avarua,CK,-21.2078,-159.775,82.45,78,40,8.05,scattered clouds
48,Lavrentiya,RU,65.5833,-171.0,30.61,88,73,7.18,broken clouds
49,Hithadhoo,MV,-0.6,73.0833,83.61,77,12,15.84,few clouds
50,Elizabeth City,US,36.2946,-76.2511,73.42,69,75,11.5,broken clouds
51,Ucluelet,CA,48.9329,-125.5528,52.11,76,100,4.0,overcast clouds
52,Saint George,US,37.1041,-113.5841,90.63,15,0,21.85,clear sky
53,Busselton,AU,-33.65,115.3333,60.48,63,82,3.29,broken clouds
54,Taoudenni,ML,22.6783,-3.9836,89.76,10,0,10.65,clear sky
55,Minas,UY,-34.3759,-55.2377,62.4,78,70,3.2,broken clouds
56,Boueni,YT,-12.9025,45.0761,80.58,72,39,6.42,scattered clouds
57,Sault Sainte Marie,CA,46.5168,-84.3333,62.89,19,0,5.75,clear sky
58,Port Hueneme,US,34.1478,-119.1951,81.46,68,0,11.5,clear sky
59,Cockburn Town,TC,21.4612,-71.1419,79.32,76,68,6.85,broken clouds
60,Ancud,CL,-41.8697,-73.8203,55.98,89,100,17.34,overcast clouds
61,Atuona,PF,-9.8,-139.0333,78.42,75,14,16.31,few clouds
62,Nelson Bay,AU,-32.7167,152.15,51.01,82,5,1.99,clear sky
63,Adrar,MR,20.5022,-10.0711,93.65,12,68,8.43,broken clouds
64,Upernavik,GL,72.7868,-56.1549,17.04,80,10,6.85,clear sky
65,Kyabe,TD,9.4515,18.9449,88.03,40,100,3.18,overcast clouds
66,Grand-Santi,GF,4.25,-54.3833,77.34,97,94,2.95,moderate rain
67,Vaini,TO,-21.2,-175.2,75.36,88,75,10.36,broken clouds
68,Big Rapids,US,43.6981,-85.4837,67.69,22,0,6.91,clear sky
69,Hermanus,ZA,-34.4187,19.2345,55.8,77,58,6.38,broken clouds
70,Muros,ES,42.7762,-9.0603,66.09,60,100,3.6,overcast clouds
71,Fortuna,US,40.5982,-124.1573,56.66,85,71,5.01,broken clouds
72,Polyanka,UA,50.2584,27.6881,51.17,93,93,5.77,light rain
73,Kodiak,US,57.79,-152.4072,54.91,41,0,12.66,clear sky
74,Jambi,ID,-1.6,103.6167,74.79,98,100,4.34,overcast clouds
75,Carnarvon,AU,-24.8667,113.6333,64.47,82,85,5.75,overcast clouds
76,Nouadhibou,MR,20.931,-17.0347,64.38,94,46,19.57,sand
77,Alofi,NU,-19.0595,-169.9187,76.89,94,75,10.36,broken clouds
78,Santa Cruz,BO,-17.8,-63.1667,81.86,41,0,6.91,clear sky
79,Magistralnyy,RU,56.1725,107.4458,46.78,74,100,10.6,overcast clouds
80,Prince Rupert,CA,54.3161,-130.3201,48.29,70,75,8.05,broken clouds
81,Lagoa,PT,39.05,-27.9833,60.73,69,33,6.02,scattered clouds
82,Port Lincoln,AU,-34.7333,135.8667,55.35,80,1,2.71,clear sky
83,Kapaa,US,22.0752,-159.319,80.58,83,100,19.57,overcast clouds
84,Victoria,HK,22.2855,114.1577,76.32,75,100,4.0,overcast clouds
85,Moultonborough,US,43.7548,-71.3967,58.98,31,100,4.0,overcast clouds
86,Mar Del Plata,AR,-38.0023,-57.5575,71.62,60,0,20.71,clear sky
87,Bambous Virieux,MU,-20.3428,57.7575,77.22,83,40,8.05,light rain
