City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Upernavik,GL,2022-04-26 16:01:27,72.7868,-56.1549,26.98,68,68,5.59
1,Butaritari,KI,2022-04-26 16:01:27,3.0707,172.7902,80.73,83,58,17.87
2,Sao Joao Da Barra,BR,2022-04-26 16:01:27,-21.6403,-41.0511,79.32,75,18,8.68
3,Praia Da Vitoria,PT,2022-04-26 16:01:28,38.7333,-27.0667,65.75,78,74,18.16
4,Caravelas,BR,2022-04-26 16:01:28,-17.7125,-39.2481,81.88,66,36,4.12
5,Chokurdakh,RU,2022-04-26 16:01:28,70.6333,147.9167,-4.13,100,100,4.9
6,Yellowknife,CA,2022-04-26 16:00:59,62.456,-114.3525,35.56,69,88,13.0
7,Tiksi,RU,2022-04-26 16:01:29,71.6872,128.8694,-5.51,100,51,4.09
8,Vaini,TO,2022-04-26 16:01:29,-21.2,-175.2,76.69,70,38,19.82
9,Albany,US,2022-04-26 15:58:45,42.6001,-73.9662,53.26,79,100,1.16
10,Hermanus,ZA,2022-04-26 16:01:30,-34.4187,19.2345,62.8,68,0,10.6
11,East London,ZA,2022-04-26 16:01:31,-33.0153,27.9116,65.73,69,25,19.26
12,Rikitea,PF,2022-04-26 15:59:10,-23.1203,-134.9692,78.39,73,98,19.89
13,Tamiahua,MX,2022-04-26 16:01:31,21.2667,-97.45,82.36,66,95,5.75
14,Beringovskiy,RU,2022-04-26 16:01:32,63.05,179.3167,32.02,99,100,9.8
15,Cape Town,ZA,2022-04-26 15:59:03,-33.9258,18.4232,66.61,64,0,21.85
16,Kardla,EE,2022-04-26 16:01:32,58.9978,22.7492,42.06,70,0,14.97
17,Busselton,AU,2022-04-26 16:01:32,-33.65,115.3333,56.91,90,100,5.03
18,Saskylakh,RU,2022-04-26 16:01:33,71.9167,114.0833,-4.88,100,94,3.18
19,Acapulco,MX,2022-04-26 16:00:04,16.8634,-99.8901,85.62,47,26,4.07
20,Ushuaia,AR,2022-04-26 16:01:15,-54.8,-68.3,38.37,95,100,2.84
21,Adrar,MR,2022-04-26 16:01:34,20.5022,-10.0711,86.79,19,0,12.66
22,Ponta Do Sol,PT,2022-04-26 16:01:34,32.6667,-17.1,69.01,64,44,8.37
23,Lebu,CL,2022-04-26 16:01:35,-37.6167,-73.65,53.35,77,83,11.48
24,Hilo,US,2022-04-26 16:01:35,19.7297,-155.09,71.28,99,95,1.99
25,Guerrero Negro,MX,2022-04-26 15:58:46,27.9769,-114.0611,68.95,52,0,5.95
26,Katsuura,JP,2022-04-26 16:01:36,35.1333,140.3,69.82,90,100,31.18
27,Chicla,PE,2022-04-26 16:01:36,-11.705,-76.2686,53.33,50,97,2.24
28,Ginir,ET,2022-04-26 16:01:37,7.1333,40.7,59.58,87,92,3.67
29,Tuktoyaktuk,CA,2022-04-26 16:01:37,69.4541,-133.0374,27.03,94,100,1.77
30,Ambon,ID,2022-04-26 16:01:37,-3.6954,128.1814,81.81,78,81,3.74
31,Kodiak,US,2022-04-26 16:01:38,57.79,-152.4072,37.38,67,18,4.47
32,Kununurra,AU,2022-04-26 16:01:38,-15.7667,128.7333,71.58,83,99,3.44
33,Esperance,AU,2022-04-26 16:01:39,-33.8667,121.9,62.35,60,27,9.46
34,Castro,BR,2022-04-26 16:01:39,-24.7911,-50.0119,79.25,52,84,4.94
35,Port Alfred,ZA,2022-04-26 16:01:40,-33.5906,26.891,62.19,83,11,3.0
36,Toyooka,JP,2022-04-26 16:01:40,35.5333,134.8333,67.42,98,100,3.2
37,Mataura,NZ,2022-04-26 16:01:40,-46.1927,168.8643,52.48,97,95,4.79
38,Phan Thiet,VN,2022-04-26 16:01:41,10.9333,108.1,79.23,86,98,2.8
39,Colac,AU,2022-04-26 16:01:41,-38.3333,143.5833,62.08,82,100,5.19
40,Yinchuan,CN,2022-04-26 16:01:42,38.4681,106.2731,60.82,22,21,13.0
41,Vestmannaeyjar,IS,2022-04-26 16:01:42,63.4427,-20.2734,45.59,87,40,9.22
42,Petropavlovsk-Kamchatskiy,RU,2022-04-26 16:01:42,53.0452,158.6483,27.36,83,3,12.64
43,Provideniya,RU,2022-04-26 16:01:43,64.3833,-173.3,23.4,93,67,8.28
44,Nikolskoye,RU,2022-04-26 16:01:43,59.7035,30.7861,46.87,76,66,9.46
45,New Norfolk,AU,2022-04-26 16:01:44,-42.7826,147.0587,50.9,82,100,2.15
46,Alamogordo,US,2022-04-26 16:01:44,32.8995,-105.9603,67.06,34,0,1.01
47,Bambous Virieux,MU,2022-04-26 16:01:55,-20.3428,57.7575,77.25,78,40,11.5
48,Saint-Philippe,RE,2022-04-26 15:59:28,-21.3585,55.7679,74.79,82,27,10.36
49,Cherskiy,RU,2022-04-26 16:01:55,68.75,161.3,21.47,86,100,4.74
50,Kieta,PG,2022-04-26 16:01:56,-6.2167,155.6333,78.48,83,83,0.83
51,Half Moon Bay,US,2022-04-26 16:01:56,37.4636,-122.4286,59.9,78,40,26.46
52,Sinnamary,GF,2022-04-26 16:01:56,5.3833,-52.95,83.66,72,100,9.08
53,Bredasdorp,ZA,2022-04-26 16:01:57,-34.5322,20.0403,60.57,61,6,6.71
54,Sitka,US,2022-04-26 16:01:57,57.0531,-135.33,42.85,90,100,1.97
55,Hobart,AU,2022-04-26 15:58:05,-42.8794,147.3294,51.26,90,97,4.61
56,Suntar,RU,2022-04-26 16:01:58,62.1444,117.6319,22.91,99,39,1.63
57,Lompoc,US,2022-04-26 16:00:09,34.6391,-120.4579,59.85,81,100,11.01
58,Clyde River,CA,2022-04-26 16:01:58,70.4692,-68.5914,11.5,94,100,33.49
59,Pasighat,IN,2022-04-26 16:01:59,28.0667,95.3333,71.42,70,18,4.32
60,Ca Mau,VN,2022-04-26 16:01:59,9.1769,105.15,80.74,80,71,3.49
61,Chuy,UY,2022-04-26 16:02:00,-33.6971,-53.4616,71.2,83,100,10.33
62,Kalga,RU,2022-04-26 16:02:00,50.9251,118.898,29.26,72,25,5.37
63,Paignton,GB,2022-04-26 16:02:01,50.4357,-3.5679,59.25,65,8,7.0
64,Svetlaya,RU,2022-04-26 16:02:01,46.5389,138.3297,36.7,92,100,4.59
65,Georgetown,MY,2022-04-26 15:57:46,5.4112,100.3354,85.95,93,40,5.99
66,Bethel,US,2022-04-26 15:58:58,41.3712,-73.414,54.03,88,100,5.75
67,Namatanai,PG,2022-04-26 16:02:02,-3.6667,152.4333,80.55,80,23,7.52
68,Kendari,ID,2022-04-26 16:02:03,-3.945,122.4989,75.18,94,90,3.22
69,Sept-Iles,CA,2022-04-26 16:02:04,50.2001,-66.3821,37.06,96,100,11.5
70,Benguela,AO,2022-04-26 16:02:04,-12.5763,13.4055,79.21,76,39,5.88
71,Kailua,US,2022-04-26 16:02:05,21.4022,-157.7394,73.02,94,72,1.99
72,Watertown,US,2022-04-26 16:02:06,42.3709,-71.1828,57.06,77,100,5.01
73,Luderitz,NA,2022-04-26 16:02:08,-26.6481,15.1594,70.27,46,0,13.29
74,Soverato,IT,2022-04-26 16:02:08,38.685,16.5499,71.15,49,1,1.88
75,Knysna,ZA,2022-04-26 16:02:09,-34.0363,23.0471,58.82,83,2,3.89
76,Olinda,BR,2022-04-26 16:02:10,-8.0089,-34.8553,85.73,62,40,14.97
77,Caohai,CN,2022-04-26 16:02:10,26.8661,104.2841,55.76,85,29,3.2
78,Port Augusta,AU,2022-04-26 16:02:11,-32.5,137.7667,60.85,89,86,3.29
79,Barrow,US,2022-04-26 15:59:31,71.2906,-156.7887,7.99,96,100,8.57
80,Nuevitas,CU,2022-04-26 16:02:11,21.5453,-77.2644,81.36,61,8,14.61
81,Grand Gaube,MU,2022-04-26 16:02:12,-20.0064,57.6608,77.4,76,1,1.99
82,Punta Arenas,CL,2022-04-26 15:59:09,-53.15,-70.9167,37.51,75,75,6.91
83,Mount Isa,AU,2022-04-26 16:02:12,-20.7333,139.5,71.37,83,19,5.75
84,Ketchikan,US,2022-04-26 16:02:13,55.3422,-131.6461,43.32,81,100,3.47
85,Bluff,NZ,2022-04-26 15:59:22,-46.6,168.3333,52.81,79,52,13.2
86,Leningradskiy,RU,2022-04-26 16:02:13,69.3833,178.4167,0.81,97,81,9.04
87,Namibe,AO,2022-04-26 16:02:14,-15.1961,12.1522,73.58,71,59,11.21
